Zip,City,State,HOH College,Spouse College
37174-6169,Spring Hill,TN,Agriculture,Engineering
37723-0237,Crab Orchard,TN,Agriculture,Engineering
37076-4705,Hermitage,TN,Agriculture,Engineering
30214-2449,Fayetteville,GA,Agriculture,Engineering
38501-8153,Cookeville,TN,Agriculture,Engineering
38501-1692,Cookeville,TN,Agriculture,Fine Arts
38506-4953,Cookeville,TN,Agriculture,Human Ecology
27574-8108,Roxboro,NC,Agriculture,Human Ecology
42134-1316,Franklin,KY,Agriculture,Human Ecology
37043-7908,Clarksville,TN,Agriculture,Human Ecology
38503-0506,Cookeville,TN,Agriculture,Human Ecology
37367-0989,Pikeville,TN,Agriculture,Human Ecology
37357-6031,Morrison,TN,Agriculture,Human Ecology
38583-5955,Sparta,TN,Agriculture,Human Ecology
37030-2164,Carthage,TN,Agriculture,Human Ecology
38506-7679,Cookeville,TN,Agriculture,Human Ecology
38501-6635,Cookeville,TN,Agriculture,Human Ecology
38573-5221,Monroe,TN,Agriculture,Human Ecology
38555-1425,Crossville,TN,Agriculture,Human Ecology
37172-6013,Springfield,TN,Agriculture,Human Ecology
37083-4236,Lafayette,TN,Agriculture,Human Ecology
35630-1283,Florence,AL,Agriculture,Human Ecology
38506-8891,Cookeville,TN,Agriculture,Human Ecology
37166-6210,Smithville,TN,Agriculture,Human Ecology
38583-5416,Sparta,TN,Agriculture,Human Ecology
85650-5113,Sierra Vista,AZ,Agriculture,Human Ecology
38506-7344,Cookeville,TN,Agriculture,Human Ecology
82941-0363,Pinedale,WY,Agriculture,Human Ecology
37129-4022,Murfreesboro,TN,Agriculture,Human Ecology
29910-5351,Bluffton,SC,Agriculture,Human Ecology
38506-4236,Cookeville,TN,Agriculture,Human Ecology
73070-1372,Norman,OK,Agriculture,Human Ecology
38583,Sparta,TN,Agriculture,Human Ecology
38506-4266,Cookeville,TN,Agriculture,Human Ecology
38079-1124,Tiptonville,TN,Agriculture,Human Ecology
37064-2033,Franklin,TN,Agriculture,Human Ecology
37122-8328,Mount Juliet,TN,Agriculture,Human Ecology
37801-9559,Maryville,TN,Agriculture,Human Ecology
38581-7636,Rock Island,TN,Agriculture,Human Ecology
37709-5248,Blaine,TN,Agriculture,Human Ecology
